roll3000,37.0,-1,-1,38.0,-1.0,-1.0,23.0,-1.0,-1.0,22.0,-1.0,-1.0
radiationm40-10-02,1800,155321.3322518764,190569.0,1800.0,155320.57854093067,187363.0,1800.0,155320.6452533764,214584.0,1800.0,155321.58676886972,228992.0
neos-5104907-jarama,1800,Inf,Inf,1800.0,Inf,Inf,1786.339318817,Inf,Inf,1786.339318817,Inf,Inf
s100,1800,-0.17029094528100353,-0.1681185941695406,1800.0,-0.17029180542454495,-0.01,1800.0,-0.17029619773737292,-0.16797000125354278,1800.0,-1252.3307909700413,-0.01
rail01,1800,Inf,Inf,1800.0,Inf,Inf,1786.5637593229999,Inf,Inf,1786.5637593229999,Inf,Inf
neos-5114902-kasavu,1800,Inf,Inf,1800.0,Inf,Inf,1777.153835908,Inf,Inf,1777.153835908,Inf,Inf
s250r10,1800,-0.17238810863631704,-0.17175674007061154,1800.0,Inf,Inf,1800.0,-0.17232848778064186,-0.1717567400706115,1771.263524541,Inf,Inf
rail02,1800,Inf,Inf,1800.0,Inf,Inf,1781.799319261,Inf,Inf,1781.799319261,Inf,Inf
neos-5188808-nattai,1800,0.017187500000000088,0.11028713199999687,1800.0,0.017187500000000088,0.11028713199999687,1722.0,-1.0,-1.0,1709.0,-1.0,-1.0
satellites2-40,1800,-28.99999999999918,49.0,1800.0,-28.99999999999993,49.0,1800.0,-28.99999999999999,49.0,1800.0,-28.999999999999684,49.0
ran14x18-disj-8,1054.0,-1,-1,1058.0,-1.0,-1.0,1331.0,-1.0,-1.0,1325.0,-1.0,-1.0
neos-5195221-niemur,1636.0,-1,-1,1652.0,-1.0,-1.0,1234.0,-1.0,-1.0,1416.0,-1.0,-1.0
satellites2-60-fs,1800,-28.999999999999982,6.0,1800.0,-486.0,79.0,1800.0,-28.999999999999925,44.0,1800.0,-28.99999999999999,44.0
rd-rplusc-21,1800,100.0,177401.23441421898,1800.0,100.0,177401.23441421898,1787.387616675,Inf,Inf,1787.387616675,Inf,Inf
neos-631710,1800,188.25,226.0,1800.0,Inf,Inf,1800.0,188.25,214.0,1770.990910687,Inf,Inf
savsched1,1800,-801160.2999999773,31859.60000002217,1800.0,-801160.2999999773,31859.60000002217,1800.0,-801160.2999999773,31859.60000002217,1800.0,-801160.2999999773,31859.60000002217
reblock115,1800,-3.6899909948059924e7,-3.680060323316175e7,1800.0,-3.6882210145090275e7,-3.680060323316175e7,1800.0,-3.689938822280312e7,-3.680060323316175e7,1800.0,-3.689997337939228e7,-3.680060323316175e7
rmatr100-p10,129.0,-1,-1,129.0,-1.0,-1.0,139.0,-1.0,-1.0,138.0,-1.0,-1.0
